device,rmean,length,model,error,std,srate,q75,q90
14df,18,2,0,0.20697445764002106,0.17567251326945812,0.900523560209424,0.29164558747526204,0.44232196770625964
d884,18,2,0,0.22256837279473174,0.18030780350337336,0.9319371727748691,0.3161079704582498,0.4675230493426945
all,18,2,0,0.2162741304534416,0.17372321531312176,1.0,0.3078907291532763,0.4537135102456278
a650,19,2,0,0.21932121504388727,0.18593795148944167,0.9240837696335078,0.30530272694897365,0.4600307027513115
38b8,19,2,0,0.21650222756938353,0.18300185967498683,0.7225130890052356,0.3022115291362433,0.4661974458988605
14df,19,2,0,0.2135778807792395,0.18143648035726606,0.8926701570680629,0.30031730536032947,0.4560927422038232
d884,19,2,0,0.2205333713917041,0.17941455383602647,0.9083769633507853,0.31735987211172123,0.4687389636583801
all,19,2,0,0.21338505385204648,0.16989120532364926,1.0,0.3040287584172172,0.4444426361725522
a650,20,2,0,0.21356308863325688,0.18086780830523053,0.9136125654450262,0.2987192868130513,0.461016397129844
38b8,20,2,0,0.21931751592554796,0.18970347923425943,0.7198952879581152,0.3023823106799466,0.4858250915120106
14df,20,2,0,0.21562613211559553,0.1796634030677439,0.8743455497382199,0.3075789354665287,0.4547521714755246
d884,20,2,0,0.2278073361593986,0.1856306187894964,0.8926701570680629,0.3254758296593794,0.4799241367742407
